mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
4450;COL.NB&624.171&K66d;Distribution of Deformation;Kloucek, C.V.;1956;La Moderna;
4451;COL.NB&624.171&L735s;Sistemi Elastici Piani;Linari, Attilio;1956;s.n;
4452;COL.NB&624.171&M854e;Linear Structural Analysis;Morice, P.B.;1959;s.n;
4453;COL.NB&624.171&R724t;Tables and Formulas for Fixed end Moments;Rogers Paul;1953;Frederick Ungar Publishing;
4454;COL.NB&624.171&Z11c;Calcul Des Constructions Hyperstatiques Par les Methodes de Relaxation;Zaytzeff, Serge;1957;Dunod;
4455;COL.NB&624.171 2&F375e;Elementi di Statica Grafica;Ferrari, Carlo;1944;Librería Técnica Editrice Dott;
4456;COL.NB&624.171 2&H513e;Estática Gráfica;Henkel, O.;1949;Labro S.A.;
4457;COL.NB&624.171 2&P187c;Curso Medio de Estática Gráfica;Panseri, Enrique;1952;Construcciones Sudamericanas;
4458;COL.NB&624.171 2&R896e;Elementos de Grafostática;Sanjuan, I. Rubio;1951;Labor S.A.;
4459;COL.NB&624.171 3&C638a;An Analysis of Statically Indeterminate Structures;Clifford D. Williams;1952;International Textbook Company;
4460;COL.NB&624.171 3&G244s;Statically Indeterminate Structures;Gartner,  R.;1951;Concrete Publications Limited;
4461;COL.NB&624.171 3&M426s;Hyperstatic Structures;Matheson, J.A.L.;1960;s.n;
4462;COL.NB&624.171 3&M449s;Statically Indeterminate Structures;Maugh, L. C.;1949;John Wiley & Sons;
4463;COL.NB&624.171 3&M465t;Theory of Statically Indeterminate Structures;Maxwell Fife, Walter;1937;McGraw-Hill;
4464;COL.NB&624.171 3&M986c;Le Calcul Des Systemes Hyperstatiques;Mussette, L.;1945;Editions Desoer Liege;
4465;COL.NB&623.171 3&P225a;Analysis of Statically Indeterminate Structures;Parcel, John I.;1955;John Wiley & Sons;
4466;COL.NB&624.171 3&P225e;An elementary treatise on staticalli indeterminate streeses;Parcel, John Ira;1952;John Wiley;
4467;COL.NB&624.171 3&R554c;Calcul Des Constructions Hyperstatique;Rieger, J.;1936;Dunod;
4467;COL.NB&624.171 3&R554c;Calcul Des Constructions Hyperstatique;Rieger, J.;1936;Dunod;
4468;COL.NB&624.171 3&W246e;Statically Indeterminate Structures;Wang, Chu-Kai;1953;McGraw-Hill;
4469;COL.NB&624.171 4&D478;Deflections of Concrete Structures;S.A;1974;s.n;
4470;COL.NB&624.172&F533c;Calcul Des Cadres par la Méthode des Deformations;Fischer, A.;1950;Dunod;
4471;COL.NB&624.176 2&A838;Engineering Aspects of The Lima, Perú Earthquake of October 3, 1974.;S/A;1974;s.n;
4472;COL.NB&624.176 2&C647t;Translations in Earthquake Engineering;S/A;1960;S.E.;
4473;COL.NB&624.176 2&C733;Recommended Lateral Force Requirements and Commentary;S.A.;1973;S.E.A.;
4474;COL.NB&624.176 2&D877e;Earthquake and Blast Effects on Structures;Duke, Martín;1952;s.n;
4475;COL.NB&624.176 2&G748e;Efectos Sismicos en las Estructuras de Concreto Reforzado Regidización de Edificios;Graniello Carballo, Eduardo;1965;S.E.;
4476;COL.NB&624.176 2&M395t;Trattato Cotruzioni Antisismiche;Masciari Genoese, F.;1915;Ulrico Hoepli;
